Title,Land Size,Location,Total Price,Monthly Payment
Annex For Rent In Kottawa,"Beds-1, Baths-1",,,"60,000"
House For Sale In Ambalantota,"Beds-5, Baths-1 Size-2000sqft",,,
House For Sale In Padukka,"Beds-3, Baths-1 Size-1280sqft",,"14,600,000","207,441"
Land For Sale In Kadawatha,25 Perches,,"11,250,000","159,843"
Land For Sale In Moratuwa,8 Perches,,"7,600,000","107,983"
House For Sale In Kadawatha,"Beds-4, Baths-3 Size-20sqft",,"28,000,000","397,832"
Land For Sale In Athurugiriya,6 Perches,,"4,200,000","59,675"
Land For Sale In Kahathuduwa,48 Perches,,"21,600,000","306,899"
House For Sale In Piliyandala,"Beds-4, Baths-4 Size-2900sqft",,"29,000,000","412,041"
House For Sale In Piliyandala,"Beds-4, Baths-4 Size-2123sqft",,"29,000,000","412,041"
House For Sale In Piliyandala,"Beds-3, Baths-1 Size-3430sqft",,"23,500,000","333,895"
House For Rent In Makola,"Beds-2, Baths-1 Size-1200sqft",,,"45,000"
Land For Sale In Colombo 08,11 Perches,,"63,800,000","906,489"
House For Rent In Kesbewa,"Beds-4, Baths-1 Size-2000sqft",,,"43,000"
Land For Sale In Homagama,10 Perches,,"4,500,000","63,937"
House For Sale In Piliyandala,"Beds-4, Baths-4 Size-2123sqft",,"29,000,000","412,041"
Land For Sale In Avissawella,10 Perches,,"3,000,000","42,625"
Land For Sale In Millaniya,12.5 Perches,,"1,875,000","26,641"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-2488sqft",,"18,000,000","255,749"
House For Sale In Piliyandala,"Beds-4, Baths-3 Size-2500sqft",,"35,000,000","497,290"
House For Sale In Piliyandala,"Beds-4, Baths-3 Size-2500sqft",,"35,000,000","497,290"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Kahathuduwa,23.9 Perches,,"9,321,000","132,436"
House For Sale In Ratmalana,"Beds-9, Baths-6 Size-6500sqft",,"120,000,000","1,704,996"
House For Sale In Pannipitiya,"Beds-3, Baths-2 Size-4356sqft",,"41,000,000","582,540"
House For Sale In Lbbagamuwa,"Beds-3, Baths-1 Size-2500sqft",,"14,500,000","206,020"
Land For Sale In Kurunegala,15 Perches,,"3,375,000","47,953"
Land For Sale In Kadawatha,6 Perches,,"10,200,000","144,925"
Land For Sale In Kahathuduwa,6 Perches,,"3,450,000","49,019"
Land For Sale In Kirindiwela,10 Perches,,"2,700,000","38,362"
Land For Sale In Urapola,10 Perches,,"2,700,000","38,362"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Land For Sale In Kandy,160 Perches,,"15,840,000","225,059"
Land For Sale In Haragama,160 Perches,,"15,840,000","225,059"
Land For Sale In Beruwala,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Dharga Town,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
Land For Sale In Homagama,10 Perches,,"3,500,000","49,729"
Office For Sale In Kotte,1538sqft,,"75,000,000","1,065,622"
House For Sale In Kaduwela,"Beds-3, Baths-1 Size-1400sqft",,"27,000,000","383,624"
House For Sale In Kadawatha,"Beds-4, Baths-3 Size-2000sqft",,"28,000,000","397,832"
House For Sale In Kottawa,"Beds-2, Baths-1 Size-2994.75sqft",,"15,000,000","213,124"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Kottawa,6.2 Perches,,"6,510,000","92,496"
House For Sale In Gampaha,"Beds-4, Baths-2 Size-2000sqft",,"2,240,000","31,827"
Land For Sale In Kadugannawa,5 Acres,,"32,500,000","461,770"
Land For Sale In Bandaragama,60 Perches,,"13,500,000","191,812"
House For Sale In Ja-Ela,"Beds-3, Baths-2 Size-2000sqft",,"10,500,000","149,187"
House For Sale In Minuwangoda,"Beds-1, Baths-1 Size-sqft",,"1,640,000","23,302"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-2488sqft",,"18,000,000","255,749"
House For Sale In Gampaha,"Beds-3, Baths-1 Size-1000sqft",,"2,600,000","36,942"
Land For Sale In Homagama,7.5 Perches,,,
Land For Sale In Matara,12 Perches,,,
House For Sale In Kiribathgoda,"Beds-5, Baths-2 Size-3000sqft",,"29,000,000","412,041"
Land For Sale In Homagama,10 Perches,,"4,500,000","63,937"
Land For Sale In Ethul Kotte,10 Perches,,,
Land For Sale In Homagama,6 Perches,,"5,490,000","78,004"
Land For Sale In Padukka,10 Perches,,"1,950,000","27,706"
House For Rent In Piliyandala,"Beds-1, Baths-1 Size-1000sqft",,,"18,000"
House For Sale In Ragama,"Beds-4, Baths-1 Size-sqft",,"10,000,000","142,083"
Land For Sale In Pelawatta,24.34 Perches,,"97,360,000","1,383,320"
House For Sale In Kottawa,"Beds-4, Baths-3 Size-2314.3sqft",,"65,000,000","923,539"
House For Sale In Kottawa,"Beds-3, Baths-2 Size-1633.5sqft",,"18,000,000","255,749"
House For Sale In Malabe,"Beds-4, Baths-2 Size-1800sqft",,"16,000,000","227,333"
House For Rent In Mount Lavinia,"Beds-3, Baths-2 Size-1800sqft",,,"110,000"
Land For Sale In Homagama,7.9 Perches,,"5,332,500","75,766"
Land For Sale In Ganemulla,18 Perches,,"4,500,000","63,937"
House For Sale In Bopitiya,"Beds-3, Baths-2 Size-1500sqft",,"17,500,000","248,645"
Land With House For Sale In Weligama,60 Perches,,"46,500,000","660,686"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
House For Rent In Negombo,"Beds-6, Baths-6 Size-5300sqft",,,"190,000"
House For Sale In Talawatugoda,"Beds-3, Baths-3 Size-2400sqft",,"55,000,000","781,456"
House For Sale In Gampaha,"Beds-2, Baths-1 Size-sqft",,"3,000,000","42,625"
House For Sale In Talawatugoda,"Beds-3, Baths-3 Size-2400sqft",,"55,000,000","781,456"
House For Sale In Divulapitiya,"Beds-3, Baths-2 Size-sqft",,"21,000,000","298,374"
House For Sale In Homagama,"Beds-3, Baths-2 Size-2300sqft",,"29,000,000","412,041"
House For Sale In Homagama,"Beds-3, Baths-2 Size-2940sqft",,"29,000,000","412,041"
House For Sale In Kalagedihena,"Beds-4, Baths-3 Size-3400sqft",,"58,000,000","824,081"
House For Sale In Piliyandala,"Beds-5, Baths-2 Size-sqft",,"38,000,000","539,915"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-2488sqft",,"18,000,000","255,749"
House For Sale In Pannipitiya,"Beds-4, Baths-3 Size-2500sqft",,"32,000,000","454,665"
House For Sale In Pannipitiya,"Beds-5, Baths-5 Size-3267sqft",,"46,000,000","653,582"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Gampaha,10.5 Perches,,"6,825,000","96,972"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Piliyandala,24 Perches,,"9,360,000","132,990"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-2488sqft",,"18,000,000","255,749"
Land For Sale In Ja-Ela,40 Perches,,"34,000,000","483,082"
Land For Sale In Gampaha,9 Perches,,"20,700,000","294,112"
Land With House For Sale In Biyagama,25 Perches,,,
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
Land For Sale In Piliyandala,6 Perches,,"3,450,000","49,019"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
Land For Sale In Buttala,3 Acres,,"3,000,000","42,625"
Land For Sale In Padeniya,200 Perches,,"4,500,000","63,937"
Land For Sale In Rambukkana,25.8 Perches,,"3,741,000","53,153"
Land For Sale In Kadawatha,13.2 Perches,,"5,280,000","75,020"
House For Sale In Kadawatha,"Beds-2, Baths-1 Size-1000sqft",,"6,000,000","85,250"
Land For Sale In Mattegoda,7.5 Perches,,"5,250,000","74,594"
Land For Sale In Wattala,680 Perches,,"204,000,000","2,898,492"
Land For Sale In Bope,13.7 Perches,,"3,014,000","42,824"
Land For Sale In Minuwangoda,12.8 Perches,,"8,832,000","125,488"
Land For Sale In Dambulla,48 Perches,,"60,000,000","852,498"
House For Sale In Kalugamuwa,"Beds-3, Baths-1 Size-900sqft",,"4,500,000","63,937"
Annex For Rent In Peradeniya,"Beds-1, Baths-1",,,"18,000"
House For Sale In Mount Lavinia,"Beds-4, Baths-4 Size-2178sqft",,"39,000,000","554,124"
Land For Sale In Agalawatta,10 Perches,,"3,000,000","42,625"
Land For Sale In Athurugiriya,6 Perches,,"7,500,000","106,562"
House For Sale In Mirigama,"Beds-3, Baths-2 Size-2200sqft",,"50,000,000","710,415"
House For Rent In Talawatugoda,"Beds-4, Baths-2 Size-2500sqft",,,"155,000"
Land For Sale In Waga,26 Perches,,"2,800,000","39,783"
House For Sale In Kegalle,"Beds-4, Baths-2 Size-1400sqft",,"28,500,000","404,936"
Land For Sale In Embilipitiya,40 Perches,,"5,600,000","79,566"
House For Sale In Polgahawela,"Beds-3, Baths-1 Size-940sqft",,"5,000,000","71,041"
Land For Sale In Marandagahamula,25 Perches,,"13,750,000","195,364"
House For Sale In Kataragama,"Beds-3, Baths-2 Size-2800sqft",,"6,500,000","92,354"
Land For Sale In Kahathuduwa,6 Perches,,"3,450,000","49,019"
Land For Sale In Millaniya,12.5 Perches,,"1,875,000","26,641"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Mattegoda,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Kottawa,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Panadura,6.2 Perches,,"4,185,000","59,462"
Land For Sale In Yatadolawatta,10 Perches,,"5,500,000","78,146"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Matugama,10 Perches,,"5,500,000","78,146"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Aniwatta,12 Perches,,"7,200,000","102,300"
Land With Half Built House For Sale In Hakmana,10 Perches,,"30,000,000","426,249"
Room For Rent In Maharagama,"Beds-1, Baths-1",,,"25,000"
Land With House For Sale In Weligama,60 Perches,,"46,500,000","660,686"
Land For Sale In Kirindiwela,10 Perches,,"2,700,000","38,362"
Land For Sale In Urapola,10 Perches,,"2,700,000","38,362"
Land For Sale In Homagama,7.9 Perches,,"5,135,000","72,960"
Land For Sale In Maggona,12.5 Perches,,"1,500,000","21,312"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
House For Sale In Pita Kotte,"Beds-5, Baths-4 Size-2550sqft",,"80,000,000","1,136,664"
House For Sale In Bandarawela,"Beds-4, Baths-2 Size-3000sqft",,"13,000,000","184,708"
House For Sale In Negombo,"Beds-3, Baths-2 Size-1550sqft",,"29,500,000","419,145"
House For Sale In Negombo,"Beds-3, Baths-3 Size-2375sqft",,"52,000,000","738,831"
House For Sale In Negombo,"Beds-5, Baths-3 Size-4550sqft",,"69,500,000","987,477"
House For Sale In Negombo,"Beds-3, Baths-2 Size-1550sqft",,"29,500,000","419,145"
House For Sale In Negombo,"Beds-5, Baths-3 Size-2850sqft",,"35,000,000","497,290"
House For Sale In Negombo,"Beds-5, Baths-2 Size-2100sqft",,"26,000,000","369,416"
House For Sale In Talawatugoda,"Beds-5, Baths-3 Size-5000sqft",,"60,000,000","852,498"
House For Rent In Kolonnawa,"Beds-2, Baths-1 Size-3000sqft",,,"30,000"
House For Sale In Dehiwala,"Beds-7, Baths-3 Size-3000sqft",,"85,000,000","1,207,705"
Land For Sale In Hambantota,10 Acres,,"11,000,000","156,291"
House For Sale In Ragama,"Beds-4, Baths-3 Size-sqft",,"25,000,000","355,207"
House For Sale In Kahathuduwa,"Beds-1, Baths-1 Size-1500sqft",,"12,000,000","170,500"
Land For Sale In Kebithigollewa,17 Perches,,"4,250,000","60,385"
Land For Sale In Nuwara Eliya,15 Perches,,"6,800,000","96,616"
Land For Sale In Athurugiriya,6 Perches,,"7,500,000","106,562"
Land For Sale In Kosgama,11 Perches,,"2,750,000","39,073"
Land For Sale In Tangalla,35 Perches,,"4,500,000","63,937"
Land For Sale In Narammala,12.5 Perches,,"3,000,000","42,625"
House For Sale In Kelaniya,"Beds-4, Baths-2 Size-sqft",,,
Land For Sale In Maharagama,4.75 Perches,,"10,925,000",
House For Sale In Gothatuwa,"Beds-4, Baths-3 Size-10sqft",,,
House For Sale In Yakkala,"Beds-3, Baths-1 Size-1800sqft",,"6,500,000","92,354"
Land With House For Sale In Kahathuduwa,48 Perches,,"21,600,000","306,899"
Land For Sale In Panadura,6.3 Perches,,"4,252,500","60,421"
Land For Sale In Pokunuwita,10 Perches,,"3,250,000","46,177"
Land For Sale In Hanwella,10 Perches,,"3,000,000","42,625"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Kahathuduwa,23.9 Perches,,"9,321,000","132,436"
House For Sale In Kotugoda,"Beds-3, Baths-2 Size-2800sqft",,"14,000,000","198,916"
House For Sale In Horana,"Beds-2, Baths-1 Size-1300sqft",,"6,800,000","96,616"
Apartment For Sale In Colombo 15,"Beds-2, Baths-1 Size-2000sqft",,"5,700,000","80,987"
Room For Rent In Piliyandala,"Beds-1, Baths-1",,,"6,500"
Land For Sale In Matale,10 Perches,,"13,000,000","184,708"
Land For Sale In Athurugiriya,7.7 Perches,,"3,542,000","50,326"
Land For Sale In Tangalla,19 Perches,,"3,800,000","53,992"
Land For Sale In Nugegoda,15 Perches,,"90,000,000","1,278,747"
Land With House For Sale In Weligama,60 Perches,,"46,500,000","660,686"
Land For Sale In Moragahahena,10 Perches,,"4,700,000","66,779"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
House For Sale In Bemmulla,"Beds-2, Baths-1 Size-1600sqft",,"6,500,000","92,354"
Land For Sale In Homagama,10 Perches,,"4,500,000","63,937"
Land For Sale In Galigamuwa Town,10 Perches,,"1,250,000","17,760"
Land For Sale In Padukka,10 Perches,,"1,950,000","27,706"
Land For Sale In Kegalle Meepitiya,10 Perches,,"2,500,000","35,521"
Land For Sale In Uhumiya,16.25 Perches,,"4,143,750","58,876"
Land For Sale In Meegoda,10 Perches,,"3,500,000","49,729"
Land For Sale In Meegoda,10 Perches,,"3,500,000","49,729"
House For Sale In Yakkala,"Beds-2, Baths-2 Size-1500sqft",,"12,000,000","170,500"
House For Sale In Kotte,"Beds-5, Baths-3 Size-2760sqft",,"29,000,000","412,041"
Land For Sale In Kosgama,10 Perches,,"2,500,000","35,521"
Land For Sale In Homagama,6 Perches,,"5,490,000","78,004"
House For Sale In Divulapitiya,"Beds-4, Baths-2 Size-2100sqft",,"17,500,000","248,645"
House For Sale In Piliyandala,"Beds-4, Baths-4 Size-4500sqft",,"125,000,000","1,776,037"
House For Sale In Nattandiya,"Beds-4, Baths-2 Size-4000sqft",,,
Land For Sale In Homagama,7.9 Perches,,"5,332,500","75,766"
Room For Rent In Maharagama,"Beds-1, Baths-1",,,"25,000"
Land For Sale In Ruwanwella,4 Acres,,"25,000,000","355,207"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Kahathuduwa,24 Perches,,"9,360,000","132,990"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Piliyandala,6 Perches,,"3,450,000","49,019"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Horana,10 Perches,,,
Land For Sale In Nawattuduwa,10 Perches,,"2,700,000","38,362"
Half Built House For Sale In Mirigama,"Beds-1, Baths-1 Size-1000sqft",,"6,500,000","92,354"
Land For Sale In Beruwala,79 Perches,,"23,000,000","326,791"
Land With House For Sale In Athurugiriya,"Beds-3, Baths-1 Size-sqft",,,
House For Sale In Kataragama,"Beds-2, Baths-1 Size-2800sqft",,"3,000,000","42,625"
House For Sale In Ratmalana,"Beds-7, Baths-5 Size-3291sqft",,"45,000,000","639,373"
House For Sale In Kadawatha,"Beds-5, Baths-3 Size-sqft",,"28,000,000","397,832"
House For Sale In Kadawatha,"Beds-5, Baths-3 Size-sqft",,"28,000,000","397,832"
Land For Sale In Kaleliya,10 Perches,,"6,500,000","92,354"
Land For Sale In Makola,11 Perches,,"10,175,000","144,569"
House For Sale In Imbulgoda,"Beds-3, Baths-2 Size-sqft",,"13,500,000","191,812"
