Title,Land Size,Location,Total Price,Monthly Payment
House For Sale In Bandaragama,"Beds-5, Baths-5 Size-2500sqft",,"35,000,000","497,290"
House For Sale In Panadura,"Beds-4, Baths-1 Size-2500sqft",,"26,500,000","376,520"
House For Sale In Panadura,"Beds-3, Baths-2 Size-2500sqft",,"16,500,000","234,437"
House For Sale In Panadura,"Beds-3, Baths-1 Size-1500sqft",,"9,000,000","127,875"
House For Sale In Wadduwa,"Beds-2, Baths-1 Size-1000sqft",,,
Land For Sale In Kadawatha,10 Perches,,"6,500,000","92,354"
Warehouse For Rent In Embilipitiya,1300sqft,,,"75,000"
House For Sale In Panadura,"Beds-3, Baths-1 Size-1500sqft",,"17,000,000","241,541"
Annexe For Rent In Dehiwala,"Beds-1, Baths-1",,,"15,000"
House For Sale In Pannipitiya,"Beds-3, Baths-2 Size-1300sqft",,"41,000,000","582,540"
House For Sale In Pannipitiya,"Beds-3, Baths-2 Size-1250sqft",,"41,000,000","582,540"
House For Sale In Piliyandala,"Beds-3, Baths-1 Size-1500sqft",,"10,000,000","142,083"
Room For Rent In Kirillawala,"Beds-1, Baths-1",,,"13,000"
House For Sale In Wadduwa,"Beds-2, Baths-1 Size-1000sqft",,"8,000,000","113,666"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-2518sqft",,"20,500,000","291,270"
Land For Sale In Ruwanwella,4 Acres,,"25,000,000","355,207"
Land For Sale In Dewalapola,47.5 Perches,,"16,625,000","236,213"
House For Sale In Panadura,"Beds-6, Baths-3 Size-3000sqft",,"42,000,000","596,748"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-2500sqft",,"20,500,000","291,270"
House For Sale In Wattala,"Beds-4, Baths-2 Size-2187sqft",,"45,000,000","639,373"
Land For Sale In Monaragala,38 Perches,,"7,410,000","105,283"
Building For Sale In Pannipitiya,3267sqft,,"44,000,000","625,165"
House For Sale In Kadawatha,"Beds-3, Baths-1 Size-1500sqft",,"14,000,000","198,916"
House For Sale In Kirillawala,"Beds-5, Baths-2 Size-2500sqft",,"14,000,000","198,916"
House For Sale In Kadawatha,"Beds-4, Baths-2 Size-2000sqft",,"14,600,000","207,441"
House For Sale In Hokandara,"Beds-5, Baths-4 Size-4356sqft",,,
Land For Sale In Diddeniya,4 Acres,,"30,000,000","426,249"
Land For Sale In Dodangoda,10 Perches,,"4,450,000","63,227"
House For Sale In Polpitigama,"Beds-5, Baths-1 Size-sqft",,"7,500,000","106,562"
House For Rent In Malabe,"Beds-2, Baths-1 Size-2000sqft",,,"52,000"
Land For Sale In Marawila,43 Perches,,"7,095,000","100,808"
Land For Sale In Hanwella,22 Acres,,,
House For Rent In Mount Lavinia,"Beds-4, Baths-3 Size-4500sqft",,,"150,000"
Commercial Building For Sale In Malabe,4100sqft,,,
House For Sale In Wadduwa,"Beds-4, Baths-2 Size-2500sqft",,"26,000,000","369,416"
Land For Sale In Horana,108 Perches,,"9,800,000","139,241"
House For Sale In Bandaragama,"Beds-3, Baths-2 Size-1950sqft",,"15,500,000","220,229"
Land With House For Sale In Battaramulla,10 Perches,,"43,000,000","610,957"
House For Sale In Matara,"Beds-5, Baths-2 Size-2900sqft",,"13,800,000","196,074"
House For Sale In Panadura,"Beds-4, Baths-3 Size-2500sqft",,"26,000,000","369,416"
House For Sale In Wadduwa,"Beds-3, Baths-1 Size-2500sqft",,"19,500,000","277,062"
House For Sale In Panadura,"Beds-3, Baths-2 Size-2500sqft",,"13,500,000","191,812"
House For Sale In Panadura,"Beds-4, Baths-2 Size-2500sqft",,"16,000,000","227,333"
House For Sale In Wadduwa,"Beds-3, Baths-1 Size-1500sqft",,"14,500,000","206,020"
Land For Sale In Wadduwa,20 Perches,,"14,000,000","198,916"
House For Sale In Wadduwa,"Beds-3, Baths-1 Size-1500sqft",,"8,500,000","120,771"
House For Sale In Panadura,"Beds-3, Baths-1 Size-1500sqft",,"9,500,000","134,979"
House For Sale In Moratuwa,"Beds-4, Baths-2 Size-2500sqft",,"18,500,000","262,853"
House For Sale In Wadduwa,"Beds-1, Baths-1 Size-1500sqft",,"11,000,000","156,291"
House For Sale In Panadura,"Beds-3, Baths-1 Size-1500sqft",,"13,000,000","184,708"
House For Sale In Panadura,"Beds-2, Baths-1 Size-1000sqft",,"7,000,000","99,458"
Room For Rent In Ratmalana,"Beds-1, Baths-1",,,"9,000"
House For Sale In Boralesgamuwa,"Beds-4, Baths-3 Size-3000sqft",,"48,000,000","681,998"
House For Sale In Panadura,"Beds-3, Baths-2 Size-2000sqft",,"16,000,000","227,333"
House For Sale In Panadura,"Beds-3, Baths-1 Size-1500sqft",,"12,000,000","170,500"
House For Sale In Panadura,"Beds-2, Baths-1 Size-1500sqft",,"14,800,000","210,283"
Land For Sale In Dodangoda,10 Perches,,"5,750,000","81,698"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
House For Sale In Dewalegama,"Beds-3, Baths-1 Size-1500sqft",,"8,000,000","113,666"
Land For Sale In Kadawatha,25 Perches,,"11,250,000","159,843"
Land For Sale In Ruwanwella,4 Acres,,"25,000,000","355,207"
Land For Sale In Marawila,12.5 Perches,,"8,125,000","115,442"
House For Rent In Kottawa,"Beds-3, Baths-1 Size-2720sqft",,,"50,000"
Land For Sale In Hanwella,12 Perches,,"11,760,000","167,090"
Land For Sale In Ratmalana,9 Perches,,"14,000,000","198,916"
House For Rent In Nugegoda,"Beds-3, Baths-2 Size-1500sqft",,,"50,000"
Land For Sale In Kosgama,158 Perches,,"13,430,000","190,817"
Apartment For Sale In Dehiwala,"Beds-2, Baths-2 Size-990sqft",,"28,000,000","397,832"
House For Rent In Dikwella,"Beds-4, Baths-2 Size-2000sqft",,,"100,000"
Land For Sale In Deraniyagala,1.75 Acres,,,
House For Rent In Minuwangoda,"Beds-2, Baths-1 Size-1000sqft",,,"26,000"
House For Sale In Ratmalana,"Beds-6, Baths-3 Size-sqft",,,
House For Rent In Athurugiriya,"Beds-4, Baths-2 Size-3500sqft",,,"65,000"
Land For Sale In Pilawala,12 Perches,,"4,980,000","70,757"
Land With House For Sale In Kaduwela,29.75 Perches,,"45,000,000","639,373"
Land For Sale In Kurunegala,16 Perches,,"4,640,000","65,926"
Land For Sale In Narammala,25 Perches,,,
Land With House For Sale In Malabe,13.2 Perches,,,
Land For Sale In Bandaragama,10 Perches,,"3,250,000","46,177"
Land For Sale In Horana,10 Perches,,"3,250,000","46,177"
Land For Sale In Kadawatha,15 Perches,,"9,750,000","138,531"
Land For Sale In Athurugiriya,6 Perches,,"7,500,000","106,562"
House For Sale In Mirigama,"Beds-3, Baths-2 Size-2200sqft",,"50,000,000","710,415"
House For Sale In Madiwela," <spanclass=""hidden-on-mobile"">Colombo.",Colombo ,"32,500,000","461,770"
House For Sale In Makehelwala,"Beds-4, Baths-2 Size-2150sqft",,"14,500,000","206,020"
House For Sale In Makola,"Beds-4, Baths-1 Size-2000sqft",,,
House For Sale In Malabe,"Beds-3, Baths-2 Size-1500sqft",,"24,000,000","340,999"
House For Sale In Kalutara,"Beds-2, Baths-1 Size-1000sqft",,"3,000,000","42,625"
Land For Sale In Horana,32 Perches,,"6,000,000","85,250"
House For Sale In Poruwedanda,"Beds-2, Baths-1 Size-1000sqft",,"3,400,000","48,308"
House For Sale In Pujapitiya,"Beds-4, Baths-1 Size-2500sqft",,"5,800,000","82,408"
House For Rent In Kadawatha,"Beds-4, Baths-2 Size-2000sqft",,"65,000",
Land For Sale In Homagama,10 Perches,,"2,800,000","39,783"
House For Sale In Anuradhapura,"Beds-6, Baths-6 Size-2700sqft",,"55,000,000","781,456"
Land For Sale In Hanwella,10 Perches,,"2,500,000","35,521"
Land For Sale In Homagama,10 Perches,,"4,000,000","56,833"
Land For Sale In Nittambuwa,10 Perches,,"2,800,000","39,783"
Land For Sale In Polpitigama,180 Perches,,"4,000,000","56,833"
Land For Sale In Padukka,10 Perches,,"1,800,000","25,575"
Land For Sale In Padukka,10 Perches,,"1,800,000","25,575"
Half Built House For Sale In Homagama,"Beds-3, Baths-1 Size-1500sqft",,"5,500,000","78,146"
House For Sale In Ja-Ela,"Beds-3, Baths-1 Size-1117sqft",,"7,800,000","110,825"
Land For Sale In Bandarawela,30 Perches,,"1,600,000","22,733"
House For Sale In Ratmalana,"Beds-12, Baths-4 Size-1600sqft",,"100,000,000","1,420,830"
House For Rent In Gampaha,"Beds-3, Baths-2 Size-3000sqft",,,"75,000"
House For Sale In Ududumbara,"Beds-3, Baths-1 Size-1000sqft",,"3,000,000","42,625"
Land For Sale In Katunayake,10 Perches,,"3,700,000","52,571"
House For Sale In Horana,"Beds-3, Baths-1 Size-2000sqft",,"3,600,000","51,150"
House For Sale In Kalutara,"Beds-3, Baths-1 Size-1500sqft",,"13,000,000","184,708"
Land For Sale In Galle,8 Perches,,"2,800,000","39,783"
Land For Sale In Nittambuwa,10 Perches,,"5,400,000","76,725"
